config_id,feature_space,space,lens,n_cubes,overlap,graph_path,node_csv_path,edge_csv_path,config_json_path,graph_parse_error,node_csv_parse_error,appears_in_mapper_graph_metrics,appears_in_main_graph_selection,average_clustering,average_degree,beta_0,beta_1,graph_density,graph_node_size_max,graph_node_size_mean,graph_node_size_median,graph_node_size_min,graph_total_unique_members,largest_component_fraction,largest_component_size,max_degree,max_node_size,mean_node_size,median_node_size,min_node_size,n_connected_components,n_edges,n_isolates,n_nodes,transitivity,node_csv_rows,node_size_mean,node_size_median,node_size_min,node_size_max,total_unique_members,mean_node_imputation_fraction,max_node_imputation_fraction
joint_density_cubes10_overlap0p35,joint,joint,density,10,0.35,outputs/mapper/graphs/graph_joint_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_density_cubes10_overlap0p35.json,,,False,False,0.6520115019458871,4.444444444444445,10,153,0.038314176245210725,1685,113.25641025641026,10.0,3,5771,0.8803418803418803,103,38,1685,113.25641025641026,10.0,3,10,260,4,117,0.21279554937413073,117,113.25641025641026,10.0,3,1685,5771,0.10561658544615775,0.4285714285714285
joint_domain_cubes10_overlap0p35,joint,joint,domain,10,0.35,outputs/mapper/graphs/graph_joint_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_domain_cubes10_overlap0p35.json,,,False,False,0.4445216242091242,3.625,7,59,0.057539682539682536,2552,209.796875,8.0,3,5837,0.84375,54,15,2552,209.796875,8.0,3,7,116,2,64,0.3333333333333333,64,209.796875,8.0,3,2552,5837,0.12110079930982584,0.5714285714285714
joint_no_density_density_cubes10_overlap0p35,joint_no_density,joint_no_density,density,10,0.35,outputs/mapper/graphs/graph_joint_no_density_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_no_density_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_no_density_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_no_density_density_cubes10_overlap0p35.json,,,False,False,0.6746567858024016,4.275229357798165,10,134,0.03958545701664968,1797,122.10091743119266,7.0,3,5795,0.8532110091743119,93,25,1797,122.10091743119266,7.0,3,10,233,4,109,0.2661290322580645,109,122.10091743119266,7.0,3,1797,5795,0.14183056070275277,0.5
joint_no_density_domain_cubes10_overlap0p35,joint_no_density,joint_no_density,domain,10,0.35,outputs/mapper/graphs/graph_joint_no_density_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_no_density_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_no_density_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_no_density_domain_cubes10_overlap0p35.json,,,False,False,0.0,0.0,9,0,0.0,5825,651.3333333333334,4.0,3,5862,0.1111111111111111,1,0,5825,651.3333333333334,4.0,3,9,0,9,9,0.0,9,651.3333333333334,4.0,3,5825,5862,0.21172839506172836,0.5
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,joint_no_density,pca2,10,0.35,outputs/mapper/graphs/graph_joint_no_density_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_no_density_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_no_density_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_no_density_pca2_cubes10_overlap0p35.json,,,True,True,0.5423253270027464,4.32258064516129,9,81,0.07086197778952935,2500,220.6451612903226,23.0,3,5862,0.7580645161290323,47,11,2500,220.6451612903226,23.0,3,9,134,3,62,0.4535367545076283,62,220.6451612903226,23.0,3,2500,5862,0.1757010080798799,0.5
joint_pca2_cubes10_overlap0p35,joint,joint,pca2,10,0.35,outputs/mapper/graphs/graph_joint_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_pca2_cubes10_overlap0p35.json,,,True,True,0.572804576376005,4.5,7,77,0.08181818181818182,2384,246.05357142857142,23.0,4,5843,0.7142857142857143,40,12,2384,246.05357142857142,23.0,4,7,126,0,56,0.46615384615384614,56,246.05357142857142,23.0,4,2384,5843,0.15179485319395478,0.4285714285714285
orb_thermal_density_cubes10_overlap0p35,orb_thermal,orb_thermal,density,10,0.35,outputs/mapper/graphs/graph_orb_thermal_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orb_thermal_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orb_thermal_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_orb_thermal_density_cubes10_overlap0p35.json,,,False,False,0.6877123254601215,4.066115702479339,13,138,0.033884297520661154,2520,111.84297520661157,6.0,3,5806,0.8016528925619835,97,33,2520,111.84297520661157,6.0,3,13,246,6,121,0.2321278385197645,121,111.84297520661157,6.0,3,2520,5806,0.2550097557095683,0.75
orb_thermal_domain_cubes10_overlap0p35,orb_thermal,orb_thermal,domain,10,0.35,outputs/mapper/graphs/graph_orb_thermal_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orb_thermal_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orb_thermal_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_orb_thermal_domain_cubes10_overlap0p35.json,,,False,False,0.38428159142444857,2.9285714285714284,12,38,0.053246753246753244,2762,242.60714285714286,8.0,3,5839,0.7142857142857143,40,12,2762,242.60714285714286,8.0,3,12,82,6,56,0.35498839907192575,56,242.60714285714286,8.0,3,2762,5839,0.25408088663223105,0.75
orb_thermal_pca2_cubes10_overlap0p35,orb_thermal,orb_thermal,pca2,10,0.35,outputs/mapper/graphs/graph_orb_thermal_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orb_thermal_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orb_thermal_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_orb_thermal_pca2_cubes10_overlap0p35.json,,,True,False,0.5359829825347067,3.4482758620689653,12,54,0.060496067755595885,2847,244.79310344827587,6.5,3,5839,0.6206896551724138,36,11,2847,244.79310344827587,6.5,3,12,100,4,58,0.47577092511013214,58,244.79310344827587,6.5,3,2847,5839,0.34674308347500044,0.75
orbital_density_cubes10_overlap0p35,orbital,orbital,density,10,0.35,outputs/mapper/graphs/graph_orbital_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orbital_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orbital_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_orbital_density_cubes10_overlap0p35.json,,,False,False,0.5430934587089037,3.337078651685393,25,144,0.01885355170443725,2389,76.08988764044943,7.0,3,5780,0.6573033707865169,117,60,2389,76.08988764044943,7.0,3,25,297,6,178,0.1350844277673546,178,76.08988764044943,7.0,3,2389,5780,0.029755040895347924,0.3846153846153846
orbital_domain_cubes10_overlap0p35,orbital,orbital,domain,10,0.35,outputs/mapper/graphs/graph_orbital_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orbital_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orbital_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_orbital_domain_cubes10_overlap0p35.json,,,False,False,0.6649350649350649,2.4415584415584415,25,42,0.03212576896787423,3206,189.8961038961039,6.0,3,5799,0.16883116883116883,13,6,3206,189.8961038961039,6.0,3,25,94,4,77,0.8615384615384616,77,189.8961038961039,6.0,3,3206,5799,0.03389417288289174,0.375
orbital_pca2_cubes10_overlap0p35,orbital,orbital,pca2,10,0.35,outputs/mapper/graphs/graph_orbital_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orbital_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orbital_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_orbital_pca2_cubes10_overlap0p35.json,,,True,True,0.5772279333569657,3.161290322580645,24,96,0.025701547338054027,3316,91.5725806451613,6.0,3,5799,0.5,62,40,3316,91.5725806451613,6.0,3,24,196,4,124,0.21452513966480447,124,91.5725806451613,6.0,3,3316,5799,0.011199827665987984,0.375
phys_density_density_cubes10_overlap0p35,phys_density,phys_density,density,10,0.35,outputs/mapper/graphs/graph_phys_density_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_density_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_density_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_density_density_cubes10_overlap0p35.json,,,False,False,0.44404484404484407,2.7948717948717947,21,52,0.036297036297036296,2431,164.97435897435898,18.0,4,5945,0.5,39,12,2431,164.97435897435898,18.0,4,21,109,6,78,0.45064377682403434,78,164.97435897435898,18.0,4,2431,5945,0.0018741113696230229,0.0843091334894613
phys_density_domain_cubes10_overlap0p35,phys_density,phys_density,domain,10,0.35,outputs/mapper/graphs/graph_phys_density_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_density_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_density_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_density_domain_cubes10_overlap0p35.json,,,False,False,0.6215097402597403,3.3,16,68,0.04177215189873418,2563,172.325,6.0,4,5946,0.55,44,12,2563,172.325,6.0,4,16,132,4,80,0.48214285714285715,80,172.325,6.0,4,2563,5946,0.010349169892279039,0.5271317829457365
phys_density_pca2_cubes10_overlap0p35,phys_density,phys_density,pca2,10,0.35,outputs/mapper/graphs/graph_phys_density_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_density_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_density_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_density_pca2_cubes10_overlap0p35.json,,,True,True,0.5614621696711249,3.044776119402985,17,52,0.04613297150610583,3023,238.38805970149255,6.0,3,5946,0.4925373134328358,33,11,3023,238.38805970149255,6.0,3,17,102,7,67,0.5294117647058824,67,238.38805970149255,6.0,3,3023,5946,0.0018370224180329177,0.0786666666666666
phys_min_density_cubes10_overlap0p35,phys_min,phys_min,density,10,0.35,outputs/mapper/graphs/graph_phys_min_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_min_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_min_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_min_density_cubes10_overlap0p35.json,,,False,False,0.5211793933443418,3.134020618556701,20,75,0.03264604810996564,1735,138.0,9.0,3,5951,0.5463917525773195,53,13,1735,138.0,9.0,3,20,152,4,97,0.430416068866571,97,138.0,9.0,3,1735,5951,0.009776345788842181,0.4166666666666667
phys_min_domain_cubes10_overlap0p35,phys_min,phys_min,domain,10,0.35,outputs/mapper/graphs/graph_phys_min_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_min_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_min_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_min_domain_cubes10_overlap0p35.json,,,False,False,0.7446912736386421,3.289473684210526,15,64,0.043859649122807015,2380,173.51315789473685,7.0,3,5953,0.4473684210526316,34,11,2380,173.51315789473685,7.0,3,15,125,2,76,0.6028368794326241,76,173.51315789473685,7.0,3,2380,5953,0.010439712736274193,0.2692307692307692
phys_min_pca2_cubes10_overlap0p35,phys_min,phys_min,pca2,10,0.35,outputs/mapper/graphs/graph_phys_min_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_min_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_min_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_min_pca2_cubes10_overlap0p35.json,,,True,True,0.6485930735930736,3.1818181818181817,15,54,0.04895104895104895,2323,202.54545454545453,7.0,3,5953,0.5,33,10,2323,202.54545454545453,7.0,3,15,105,6,66,0.579088471849866,66,202.54545454545453,7.0,3,2323,5953,0.017370253623123326,0.4210526315789473
thermal_density_cubes10_overlap0p35,thermal,thermal,density,10,0.35,outputs/mapper/graphs/graph_thermal_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_thermal_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_thermal_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_thermal_density_cubes10_overlap0p35.json,,,False,False,0.5217747265339612,3.297560975609756,38,171,0.016164514586322332,1747,65.09268292682927,8.0,3,5836,0.6390243902439025,131,46,1747,65.09268292682927,8.0,3,38,338,9,205,0.19918104708979234,205,65.09268292682927,8.0,3,1747,5836,0.4715750258407292,1.0
thermal_domain_cubes10_overlap0p35,thermal,thermal,domain,10,0.35,outputs/mapper/graphs/graph_thermal_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_thermal_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_thermal_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_thermal_domain_cubes10_overlap0p35.json,,,False,False,0.4339758487126908,2.210526315789474,38,48,0.023516237402015677,2755,143.05263157894737,6.0,3,5839,0.28421052631578947,27,11,2755,143.05263157894737,6.0,3,38,105,18,95,0.5800604229607251,95,143.05263157894737,6.0,3,2755,5839,0.527383288698465,1.0
thermal_pca2_cubes10_overlap0p35,thermal,thermal,pca2,10,0.35,outputs/mapper/graphs/graph_thermal_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_thermal_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_thermal_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_thermal_pca2_cubes10_overlap0p35.json,,,True,True,0.5049242768251032,2.479338842975207,38,67,0.02066115702479339,2993,96.15702479338843,6.0,3,5839,0.2892561983471074,35,14,2993,96.15702479338843,6.0,3,38,150,6,121,0.521484375,121,96.15702479338843,6.0,3,2993,5839,0.5875030401169343,1.0
